year,date,julian_day,predated_total,predated_fenced,predated_unfenced
2021,25-May,145,0,0,0
2021,26-May,146,NA,NA,NA
2021,27-May,147,0,0,0
2021,28-May,148,0,0,0
2021,29-May,149,NA,NA,NA
2021,30-May,150,NA,NA,NA
2021,31-May,151,0,0,0
2021,1-Jun,152,0,0,0
2021,2-Jun,153,0,0,0
2021,3-Jun,154,0,0,0
2021,4-Jun,155,0,0,0
2021,5-Jun,156,0,0,0
2021,6-Jun,157,0,0,0
2021,7-Jun,158,0,0,0
2021,8-Jun,159,4,2,2
2021,9-Jun,160,0,0,0
2021,10-Jun,161,1,0,1
2021,11-Jun,162,8,0,8
2021,12-Jun,163,18,3,15
2021,13-Jun,164,3,1,2
2021,14-Jun,165,8,0,8
2021,15-Jun,166,4,0,4
2021,16-Jun,167,1,0,1
2021,17-Jun,168,2,0,2
2021,18-Jun,169,10,4,6
2021,19-Jun,170,8,4,4
2021,20-Jun,171,4,0,4
2021,21-Jun,172,11,4,7
2021,22-Jun,173,8,3,5
2021,23-Jun,174,11,5,6
2021,24-Jun,175,9,1,8
2021,25-Jun,176,6,1,5
2021,26-Jun,177,2,1,1
2021,27-Jun,178,5,0,5
2021,28-Jun,179,NA,NA,NA
2021,29-Jun,180,8,6,2
2021,30-Jun,181,10,4,6
2021,1-Jul,182,12,2,10
2021,2-Jul,183,NA,NA,NA
2021,3-Jul,184,21,3,18
2021,4-Jul,185,8,3,5
2021,5-Jul,186,10,3,7
2021,6-Jul,187,3,2,1
2021,7-Jul,188,1,1,0
2021,8-Jul,189,4,1,3
2021,9-Jul,190,NA,NA,NA
2021,10-Jul,191,13,4,9
2021,11-Jul,192,3,0,3
2021,12-Jul,193,NA,NA,NA
2021,13-Jul,194,NA,NA,NA
2021,14-Jul,195,NA,NA,NA
2021,15-Jul,196,8,1,7
2021,16-Jul,197,4,1,3
2021,17-Jul,198,7,3,4
2021,18-Jul,199,6,3,3
2021,19-Jul,200,5,0,5
2021,20-Jul,201,0,0,0
2021,21-Jul,202,NA,NA,NA
2021,22-Jul,203,NA,NA,NA
2021,23-Jul,204,3,0,3
2021,24-Jul,205,0,0,0
2021,25-Jul,206,0,0,0
2021,26-Jul,207,4,0,4
2021,27-Jul,208,1,0,1
2021,28-Jul,209,0,0,0
2021,29-Jul,210,0,0,0
2021,30-Jul,211,0,0,0
2021,31-Jul,212,0,0,0
2021,1-Aug,213,0,0,0
2021,2-Aug,214,0,0,0
2021,3-Aug,215,0,0,0
2021,4-Aug,216,0,0,0
2021,5-Aug,217,0,0,0
2021,6-Aug,218,NA,NA,NA
2021,7-Aug,219,NA,NA,NA
2021,8-Aug,220,NA,NA,NA
2021,9-Aug,221,NA,NA,NA
2021,10-Aug,222,NA,NA,NA
2021,11-Aug,223,NA,NA,NA
2021,12-Aug,224,NA,NA,NA
2021,13-Aug,225,NA,NA,NA
2021,14-Aug,226,0,0,0
2021,15-Aug,227,0,0,0
2021,16-Aug,228,0,0,0
2021,17-Aug,229,0,0,0
2021,18-Aug,230,0,0,0
2021,19-Aug,231,0,0,0
2021,20-Aug,232,0,0,0
2021,21-Aug,233,0,0,0
2021,22-Aug,234,0,0,0
2021,23-Aug,235,0,0,0
2021,24-Aug,236,0,0,0
2021,25-Aug,237,0,0,0
2021,26-Aug,238,0,0,0
2021,27-Aug,239,0,0,0
2021,28-Aug,240,0,0,0
2021,29-Aug,241,0,0,0
2021,30-Aug,242,0,0,0
2021,31-Aug,243,0,0,0
2021,1-Sep,244,0,0,0
2021,2-Sep,245,0,0,0
2021,3-Sep,246,0,0,0
2021,4-Sep,247,0,0,0
2021,5-Sep,248,0,0,0
2021,6-Sep,249,0,0,0
2021,7-Sep,250,0,0,0
2021,8-Sep,251,0,0,0
2021,9-Sep,252,0,0,0
2021,10-Sep,253,0,0,0
2021,11-Sep,254,0,0,0
2021,12-Sep,255,0,0,0
2021,13-Sep,256,0,0,0
2021,14-Sep,257,0,0,0
2021,15-Sep,258,0,0,0
2021,16-Sep,259,0,0,0
2021,17-Sep,260,0,0,0
2021,18-Sep,261,0,0,0
2021,19-Sep,262,0,0,0
2021,20-Sep,263,0,0,0
2021,21-Sep,264,0,0,0
2021,22-Sep,265,0,0,0
2021,23-Sep,266,0,0,0
2021,24-Sep,267,0,0,0
2021,25-Sep,268,0,0,0
2021,26-Sep,269,0,0,0
2021,27-Sep,270,0,0,0
2021,28-Sep,271,0,0,0
2021,29-Sep,272,0,0,0
